"Popolazione residente per età, sesso e stato civile al 1° gennaio 2020"
"Codice ripartizione";"Ripartizione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"3";"Centro";0;39249;0;0;0;0;0;0;39249;37203;0;0;0;0;0;0;37203;76452
"3";"Centro";1;42460;0;0;0;0;0;0;42460;40421;0;0;0;0;0;0;40421;82881
"3";"Centro";2;44842;0;0;0;0;0;0;44842;42275;0;0;0;0;0;0;42275;87117
"3";"Centro";3;46974;0;0;0;0;0;0;46974;44430;0;0;0;0;0;0;44430;91404
"3";"Centro";4;47985;0;0;0;0;0;0;47985;45687;0;0;0;0;0;0;45687;93672
"3";"Centro";5;50364;0;0;0;0;0;0;50364;47334;0;0;0;0;0;0;47334;97698
"3";"Centro";6;51351;0;0;0;0;0;0;51351;48174;0;0;0;0;0;0;48174;99525
"3";"Centro";7;53630;0;0;0;0;0;0;53630;51271;0;0;0;0;0;0;51271;104901
"3";"Centro";8;54312;0;0;0;0;0;0;54312;51655;0;0;0;0;0;0;51655;105967
"3";"Centro";9;55967;0;0;0;0;0;0;55967;52720;0;0;0;0;0;0;52720;108687
"3";"Centro";10;56442;0;0;0;0;0;0;56442;52884;0;0;0;0;0;0;52884;109326
"3";"Centro";11;57149;0;0;0;0;0;0;57149;54117;0;0;0;0;0;0;54117;111266
"3";"Centro";12;57433;0;0;0;0;0;0;57433;53508;0;0;0;0;0;0;53508;110941
"3";"Centro";13;56607;0;0;0;0;0;0;56607;53341;0;0;0;0;0;0;53341;109948
"3";"Centro";14;55712;0;0;0;0;0;0;55712;52316;0;0;0;0;0;0;52316;108028
"3";"Centro";15;55898;1;0;0;0;0;0;55899;52365;4;0;0;0;0;0;52369;108268
"3";"Centro";16;54983;0;0;0;0;0;0;54983;51743;0;1;0;0;0;0;51744;106727
"3";"Centro";17;54930;1;0;0;0;0;0;54931;51271;7;0;1;0;0;0;51279;106210
"3";"Centro";18;55196;3;1;0;0;0;0;55200;51393;43;2;0;0;0;0;51438;106638
"3";"Centro";19;56912;21;0;1;0;0;0;56934;51910;217;2;0;0;0;0;52129;109063
"3";"Centro";20;56745;57;1;1;1;0;0;56805;50562;431;3;0;2;0;0;50998;107803
"3";"Centro";21;58318;117;2;1;1;1;0;58440;50781;858;4;0;2;0;0;51645;110085
"3";"Centro";22;57463;221;3;0;4;1;0;57692;50470;1365;10;0;3;0;0;51848;109540
"3";"Centro";23;57338;437;12;6;3;0;0;57796;50116;2093;15;4;6;1;0;52235;110031
"3";"Centro";24;57163;789;14;2;11;0;0;57979;49500;2942;39;2;7;3;0;52493;110472
"3";"Centro";25;56398;1197;12;2;11;0;1;57621;49338;4143;47;6;9;0;0;53543;111164
"3";"Centro";26;56477;1904;17;3;16;2;0;58419;48852;5887;92;10;16;1;0;54858;113277
"3";"Centro";27;58009;3070;46;7;16;0;0;61148;49260;8387;117;16;16;0;1;57797;118945
"3";"Centro";28;55852;4682;63;4;31;1;0;60633;46723;10710;175;20;15;1;0;57644;118277
"3";"Centro";29;55995;6662;101;1;34;1;0;62794;45724;13843;282;36;16;1;1;59903;122697
"3";"Centro";30;52982;9059;131;7;33;0;0;62212;42906;17163;377;37;30;0;0;60513;122725
"3";"Centro";31;51824;12090;169;6;45;0;0;64134;40826;21556;548;51;46;0;0;63027;127161
"3";"Centro";32;47975;14694;225;7;63;1;0;62965;37521;24143;633;70;48;1;0;62416;125381
"3";"Centro";33;45255;17652;331;8;52;2;0;63300;35087;27253;854;89;35;1;1;63320;126620
"3";"Centro";34;44504;20639;498;12;74;1;0;65728;34427;30708;1078;112;63;2;0;66390;132118
"3";"Centro";35;42349;24673;581;28;64;1;1;67697;32494;33642;1277;127;52;0;0;67592;135289
"3";"Centro";36;41038;27739;704;36;71;0;0;69588;31234;36606;1543;152;48;1;1;69585;139173
"3";"Centro";37;39665;31201;927;40;82;0;1;71916;30543;39467;1799;201;70;0;0;72080;143996
"3";"Centro";38;37691;33513;1047;38;75;0;0;72364;28980;41964;2192;247;61;0;0;73444;145808
"3";"Centro";39;36439;36542;1327;45;75;0;0;74428;27946;44332;2418;293;56;2;0;75047;149475
"3";"Centro";40;35743;39289;1646;71;88;0;0;76837;27445;47533;2988;423;56;3;0;78448;155285
"3";"Centro";41;36283;42801;1900;107;77;1;1;81170;27858;51058;3568;502;61;3;1;83051;164221
"3";"Centro";42;35407;45561;2208;103;94;1;0;83374;26927;53727;4076;578;63;1;1;85373;168747
"3";"Centro";43;34678;48896;2679;131;98;3;0;86485;26826;57226;4468;665;71;0;0;89256;175741
"3";"Centro";44;34865;52416;3036;195;112;1;0;90625;26713;61291;5234;792;70;1;0;94101;184726
"3";"Centro";45;34448;56056;3398;202;117;2;2;94225;26220;65063;5822;969;78;0;0;98152;192377
"3";"Centro";46;31918;57973;3806;257;110;0;0;94064;24829;65841;6318;1075;66;1;0;98130;192194
"3";"Centro";47;30374;59899;4269;290;108;1;0;94941;23028;67693;6761;1269;69;0;0;98820;193761
"3";"Centro";48;28416;61844;4617;313;106;0;2;95298;21879;69072;7418;1464;54;0;1;99888;195186
