"Popolazione residente per età, sesso e stato civile al 1° gennaio 2021"
"Codice ripartizione";"Ripartizione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"3";"Centro";0;38663;0;0;0;0;0;0;38663;36570;0;0;0;0;0;0;36570;75233
"3";"Centro";1;40691;0;0;0;0;0;0;40691;38568;0;0;0;0;0;0;38568;79259
"3";"Centro";2;43290;0;0;0;0;0;0;43290;41239;0;0;0;0;0;0;41239;84529
"3";"Centro";3;45712;0;0;0;0;0;0;45712;43069;0;0;0;0;0;0;43069;88781
"3";"Centro";4;48027;0;0;0;0;0;0;48027;45469;0;0;0;0;0;0;45469;93496
"3";"Centro";5;49129;0;0;0;0;0;0;49129;46820;0;0;0;0;0;0;46820;95949
"3";"Centro";6;50428;0;0;0;0;0;0;50428;47467;0;0;0;0;0;0;47467;97895
"3";"Centro";7;51546;0;0;0;0;0;0;51546;48378;0;0;0;0;0;0;48378;99924
"3";"Centro";8;53773;0;0;0;0;0;0;53773;51421;0;0;0;0;0;0;51421;105194
"3";"Centro";9;54684;0;0;0;0;0;0;54684;51969;0;0;0;0;0;0;51969;106653
"3";"Centro";10;56325;0;0;0;0;0;0;56325;52966;0;0;0;0;0;0;52966;109291
"3";"Centro";11;56729;0;0;0;0;0;0;56729;53146;0;0;0;0;0;0;53146;109875
"3";"Centro";12;57559;0;0;0;0;0;0;57559;54409;0;0;0;0;0;0;54409;111968
"3";"Centro";13;57853;0;0;0;0;0;0;57853;53882;0;0;0;0;0;0;53882;111735
"3";"Centro";14;57074;0;0;0;0;0;0;57074;53759;0;0;0;0;0;0;53759;110833
"3";"Centro";15;56240;0;0;0;0;0;0;56240;52727;0;0;0;0;0;0;52727;108967
"3";"Centro";16;56274;0;0;0;0;0;0;56274;52618;7;0;0;0;0;0;52625;108899
"3";"Centro";17;55352;1;0;0;0;0;0;55353;51816;4;1;0;0;0;0;51821;107174
"3";"Centro";18;55183;3;0;0;0;0;0;55186;51391;31;0;0;0;0;0;51422;106608
"3";"Centro";19;55703;10;0;0;0;0;0;55713;51682;141;2;0;0;0;0;51825;107538
"3";"Centro";20;57672;49;0;1;0;0;0;57722;52465;372;3;0;0;0;0;52840;110562
"3";"Centro";21;57461;131;1;2;2;0;0;57597;51204;816;8;0;2;0;0;52030;109627
"3";"Centro";22;58949;184;4;1;2;0;0;59140;51383;1306;10;0;1;0;0;52700;111840
"3";"Centro";23;57905;354;2;0;5;0;0;58266;50800;1872;16;2;3;0;0;52693;110959
"3";"Centro";24;57703;620;10;6;6;0;0;58345;50214;2661;24;6;8;1;0;52914;111259
"3";"Centro";25;57172;1152;16;2;13;0;1;58356;49048;3861;60;7;8;3;0;52987;111343
