"Popolazione residente per età, sesso e stato civile al 1° gennaio 2023"
"Codice ripartizione";"Ripartizione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"3";"Centro";0;36863;0;0;0;0;0;0;36863;34892;0;0;0;0;0;0;34892;71755
"3";"Centro";1;38723;0;0;0;0;0;0;38723;37097;0;0;0;0;0;0;37097;75820
"3";"Centro";2;39436;0;0;0;0;0;0;39436;37282;0;0;0;0;0;0;37282;76718
"3";"Centro";3;41286;0;0;0;0;0;0;41286;39104;0;0;0;0;0;0;39104;80390
"3";"Centro";4;43591;0;0;0;0;0;0;43591;41523;0;0;0;0;0;0;41523;85114
"3";"Centro";5;45964;0;0;0;0;0;0;45964;43301;0;0;0;0;0;0;43301;89265
"3";"Centro";6;47978;0;0;0;0;0;0;47978;45490;0;0;0;0;0;0;45490;93468
"3";"Centro";7;48884;0;0;0;0;0;0;48884;46605;0;0;0;0;0;0;46605;95489
"3";"Centro";8;51324;0;0;0;0;0;0;51324;48228;0;0;0;0;0;0;48228;99552
"3";"Centro";9;52139;0;0;0;0;0;0;52139;48993;0;0;0;0;0;0;48993;101132
"3";"Centro";10;54452;0;0;0;0;0;0;54452;52051;0;0;0;0;0;0;52051;106503
"3";"Centro";11;55304;0;0;0;0;0;0;55304;52486;0;0;0;0;0;0;52486;107790
"3";"Centro";12;56880;0;0;0;0;0;0;56880;53554;0;0;0;0;0;0;53554;110434
"3";"Centro";13;57375;0;0;0;0;0;0;57375;53664;0;0;0;0;0;0;53664;111039
"3";"Centro";14;58236;0;0;0;0;0;0;58236;54994;0;0;0;0;0;0;54994;113230
"3";"Centro";15;58453;0;0;0;0;0;0;58453;54412;0;0;0;0;0;0;54412;112865
"3";"Centro";16;57815;2;0;0;0;0;0;57817;54331;4;1;0;0;0;0;54336;112153
"3";"Centro";17;57109;1;0;0;0;0;0;57110;53234;2;1;0;0;0;0;53237;110347
"3";"Centro";18;57766;2;0;1;0;0;0;57769;53328;23;0;0;0;0;0;53351;111120
"3";"Centro";19;56367;8;2;0;0;0;0;56377;51975;124;2;0;1;0;0;52102;108479
"3";"Centro";20;56271;36;0;0;1;0;0;56308;51637;279;2;1;0;0;0;51919;108227
"3";"Centro";21;56369;70;19;0;0;0;0;56458;51544;527;22;1;0;0;0;52094;108552
"3";"Centro";22;57962;188;27;1;3;0;0;58181;51740;931;25;0;3;0;0;52699;110880
"3";"Centro";23;57309;331;40;0;7;0;0;57687;50104;1446;37;3;8;0;0;51598;109285
"3";"Centro";24;58568;558;42;1;10;0;0;59179;50220;2190;46;1;8;0;0;52465;111644
"3";"Centro";25;57502;960;44;2;13;0;0;58521;49411;3187;54;3;8;0;0;52663;111184
"3";"Centro";26;57035;1449;59;2;11;0;0;58556;48660;4259;80;4;18;3;0;53024;111580
"3";"Centro";27;56711;2214;71;0;25;2;1;59024;47468;5812;123;8;24;4;0;53439;112463
"3";"Centro";28;55308;3128;78;2;30;1;0;58547;46557;7758;159;14;36;2;0;54526;113073
"3";"Centro";29;54623;4486;109;5;32;2;0;59257;45380;10110;208;13;48;5;0;55764;115021
"3";"Centro";30;55316;6493;149;8;46;3;0;62015;45094;13326;320;37;51;6;0;58834;120849
"3";"Centro";31;52513;8789;169;33;78;1;0;61583;42338;15834;474;57;59;3;0;58765;120348
"3";"Centro";32;52313;11226;261;37;71;7;0;63915;41102;19158;597;79;67;5;2;61010;124925
"3";"Centro";33;48772;13899;321;37;79;1;0;63109;38393;22103;784;90;72;3;0;61445;124554
"3";"Centro";34;47619;17095;454;46;98;3;0;65315;36915;25754;989;121;108;8;1;63896;129211
"3";"Centro";35;44121;19321;513;32;103;2;0;64092;34208;27882;1075;144;110;6;0;63425;127517
"3";"Centro";36;41366;21829;712;64;86;7;0;64064;31984;30020;1661;249;93;7;0;64014;128078
"3";"Centro";37;40956;24776;915;54;112;7;2;66822;31493;33241;1816;285;103;5;0;66943;133765
"3";"Centro";38;39189;28266;1037;79;111;1;2;68685;30245;35536;2080;285;96;7;0;68249;136934
"3";"Centro";39;38176;30936;1230;80;124;4;1;70551;29364;38167;2403;314;101;2;0;70351;140902
"3";"Centro";40;37220;34012;1442;91;142;3;1;72911;28918;40577;2747;408;125;5;0;72780;145691
"3";"Centro";41;35299;35742;1729;196;122;3;1;73092;27517;42652;3204;585;120;3;0;74081;147173
"3";"Centro";42;34515;38268;1979;223;114;2;0;75101;26604;44720;3448;666;87;7;0;75532;150633
"3";"Centro";43;33802;40717;2432;239;156;3;0;77349;26304;47644;4102;843;88;6;0;78987;156336
"3";"Centro";44;34488;44018;2726;236;129;5;1;81603;26785;50842;4829;900;91;2;0;83449;165052
"3";"Centro";45;33788;46323;3091;265;140;2;0;83609;26006;53483;5379;975;102;1;1;85947;169556
"3";"Centro";46;33291;49385;3622;311;145;4;0;86758;25753;56945;5767;1262;88;4;0;89819;176577
"3";"Centro";47;33550;52830;4058;387;164;1;1;90991;25767;60607;6637;1364;101;5;0;94481;185472
"3";"Centro";48;33260;56121;4553;382;173;6;3;94498;25308;64273;7239;1588;113;1;0;98522;193020
"3";"Centro";49;30955;57787;4942;420;153;4;2;94263;24213;64791;7628;1741;92;2;0;98467;192730
"3";"Centro";50;29442;59696;5421;497;153;4;1;95214;22461;66486;8213;1953;88;1;2;99204;194418
"3";"Centro";51;27438;61417;5729;495;163;2;2;95246;21202;67866;8750;2361;77;3;0;100259;195505
"3";"Centro";52;25777;62258;6005;577;163;1;2;94783;19363;67052;9006;2658;71;1;1;98152;192935
"3";"Centro";53;24088;64466;6591;649;146;3;3;95946;18896;69779;9428;2897;71;0;0;101071;197017
"3";"Centro";54;22404;64486;6560;747;167;1;1;94366;17737;69209;9560;3389;68;1;1;99965;194331
"3";"Centro";55;20727;65476;6891;829;163;4;2;94092;16783;70038;9940;3664;59;0;2;100486;194578
"3";"Centro";56;19710;67168;7416;1013;193;1;1;95502;15571;70605;9810;4113;55;1;0;100155;195657
"3";"Centro";57;18016;68656;7469;1102;173;0;1;95417;14908;70741;10005;4441;60;1;2;100158;195575
"3";"Centro";58;16867;70216;7723;1247;164;0;4;96221;13842;72617;10200;5209;63;2;4;101937;198158
"3";"Centro";59;14425;66221;7196;1367;160;4;0;89373;12183;68439;9661;5422;59;2;1;95767;185140
"3";"Centro";60;12805;64507;6969;1332;122;3;2;85740;11149;65453;8864;5951;42;0;2;91461;177201
"3";"Centro";61;11538;63575;6552;1573;130;0;3;83371;10306;64137;8450;6857;48;0;1;89799;173170
"3";"Centro";62;10368;61732;6051;1756;121;1;2;80031;9392;61834;8006;7420;45;0;2;86699;166730
"3";"Centro";63;9483;60073;5717;1773;106;1;3;77156;8708;59733;7503;7872;31;1;0;83848;161004
"3";"Centro";64;8485;57375;5254;1927;118;3;4;73166;7920;57231;7093;8433;33;0;1;80711;153877
"3";"Centro";65;7762;56497;4979;1989;90;0;1;71318;7478;55963;6528;9255;31;0;0;79255;150573
"3";"Centro";66;7112;55855;4548;2432;85;1;1;70034;6685;54482;6133;10325;23;0;3;77651;147685
"3";"Centro";67;6500;54636;4280;2553;65;1;0;68035;6357;53127;5691;10951;14;0;1;76141;144176
"3";"Centro";68;5699;53541;3983;2728;66;0;2;66019;5863;51623;5416;11774;14;0;1;74691;140710
"3";"Centro";69;5320;50884;3516;2905;47;0;0;62672;5388;48100;4783;12262;18;0;0;70551;133223
"3";"Centro";70;4744;49878;3254;3026;54;0;1;60957;4934;46374;4533;13098;19;0;0;68958;129915
"3";"Centro";71;4636;49388;3026;3146;58;1;1;60256;4547;45469;4303;14367;22;0;1;68709;128965
"3";"Centro";72;4269;50445;2928;3607;52;2;1;61304;4503;45405;4252;15998;17;0;0;70175;131479
"3";"Centro";73;4037;50289;2790;4025;40;0;2;61183;4388;44731;3890;17852;11;0;0;70872;132055
"3";"Centro";74;4011;52242;2498;4591;36;0;1;63379;4434;45815;3701;20386;11;1;0;74348;137727
"3";"Centro";75;3728;50525;2364;4929;38;1;0;61585;4092;43040;3520;22121;9;0;0;72782;134367
"3";"Centro";76;3472;48108;2031;5322;38;0;1;58972;3951;40482;3359;23736;8;0;1;71537;130509
"3";"Centro";77;2561;36516;1524;4545;21;0;1;45168;3100;30025;2494;20248;4;0;1;55872;101040
"3";"Centro";78;2430;35464;1401;4739;18;0;2;44054;3125;27916;2230;22060;6;0;2;55339;99393
"3";"Centro";79;2329;35246;1193;5116;22;0;0;43906;3116;27067;2089;24238;3;0;0;56513;100419
"3";"Centro";80;2294;31960;1129;5257;31;0;2;40673;2968;23805;1886;24835;4;0;1;53499;94172
"3";"Centro";81;2183;31110;948;5605;21;0;0;39867;3001;22280;1712;26690;6;0;2;53691;93558
"3";"Centro";82;2220;32308;935;6534;20;0;1;42018;3245;21957;1711;31639;2;0;0;58554;100572
"3";"Centro";83;2019;29683;728;6633;8;0;1;39072;2955;18820;1420;31872;2;0;0;55069;94141
"3";"Centro";84;1748;26963;675;6716;6;0;0;36108;2817;15931;1214;32561;0;0;0;52523;88631
"3";"Centro";85;1500;22012;534;6294;6;0;0;30346;2552;12180;969;30460;1;0;0;46162;76508
"3";"Centro";86;1167;17997;402;5859;6;0;0;25431;2304;9305;851;27981;1;0;0;40442;65873
"3";"Centro";87;1111;16289;335;5925;4;0;1;23665;2169;7637;701;28056;0;0;0;38563;62228
"3";"Centro";88;937;13016;282;5340;8;0;0;19583;1970;5653;551;25745;0;0;0;33919;53502
"3";"Centro";89;742;10433;204;4818;3;0;1;16201;1679;4004;452;23362;0;0;0;29497;45698
"3";"Centro";90;575;7915;128;4144;2;0;0;12764;1543;3026;350;20457;0;0;0;25376;38140
"3";"Centro";91;475;6378;112;3908;1;0;0;10874;1385;2073;303;18626;0;0;0;22387;33261
"3";"Centro";92;378;4781;80;3400;3;0;0;8642;1236;1548;263;16698;0;0;0;19745;28387
"3";"Centro";93;261;3186;45;2670;0;0;0;6162;902;898;192;12961;0;0;0;14953;21115
"3";"Centro";94;192;2148;36;2038;0;0;0;4414;849;564;126;10355;0;0;0;11894;16308
"3";"Centro";95;123;1397;21;1615;1;0;0;3157;622;387;95;8168;1;0;0;9273;12430
"3";"Centro";96;83;847;17;1144;0;0;0;2091;494;221;67;6111;0;0;0;6893;8984
"3";"Centro";97;55;473;8;753;0;0;0;1289;380;134;59;4397;0;0;0;4970;6259
"3";"Centro";98;38;287;9;613;0;0;0;947;306;88;31;3113;0;0;0;3538;4485
"3";"Centro";99;26;186;4;398;0;0;0;614;208;71;22;2086;0;0;0;2387;3001
"3";"Centro";100;66;193;7;516;0;0;0;782;321;112;50;3277;0;0;0;3760;4542
"3";"Centro";999;2742488;2597664;185324;155951;5570;108;66;5687171;2399864;2635740;274375;722802;3118;116;36;6036051;11723222
"5";"Isole";0;23109;0;0;0;0;0;0;23109;21294;0;0;0;0;0;0;21294;44403
"5";"Isole";1;23352;0;0;0;0;0;0;23352;22248;0;0;0;0;0;0;22248;45600
"5";"Isole";2;23829;0;0;0;0;0;0;23829;22377;0;0;0;0;0;0;22377;46206
"5";"Isole";3;24625;0;0;0;0;0;0;24625;23235;0;0;0;0;0;0;23235;47860
"5";"Isole";4;25733;0;0;0;0;0;0;25733;24286;0;0;0;0;0;0;24286;50019
"5";"Isole";5;26654;0;0;0;0;0;0;26654;25053;0;0;0;0;0;0;25053;51707
"5";"Isole";6;26691;0;0;0;0;0;0;26691;25451;0;0;0;0;0;0;25451;52142
"5";"Isole";7;27863;0;0;0;0;0;0;27863;26179;0;0;0;0;0;0;26179;54042
"5";"Isole";8;28453;0;0;0;0;0;0;28453;26898;0;0;0;0;0;0;26898;55351
"5";"Isole";9;28244;0;0;0;0;0;0;28244;26762;0;0;0;0;0;0;26762;55006
"5";"Isole";10;29563;0;0;0;0;0;0;29563;28192;0;0;0;0;0;0;28192;57755
"5";"Isole";11;30105;0;0;0;0;0;0;30105;28692;0;0;0;0;0;0;28692;58797
"5";"Isole";12;31047;0;0;0;0;0;0;31047;29537;0;0;0;0;0;0;29537;60584
"5";"Isole";13;31792;0;0;0;0;0;0;31792;29786;0;0;0;0;0;0;29786;61578
"5";"Isole";14;32136;0;0;0;0;0;0;32136;30414;0;0;0;0;0;0;30414;62550
"5";"Isole";15;31839;0;0;0;0;0;0;31839;30345;0;0;0;0;0;0;30345;62184
"5";"Isole";16;33002;1;0;0;0;0;0;33003;30361;0;0;0;0;0;0;30361;63364
"5";"Isole";17;33570;0;1;2;0;0;0;33573;31078;5;1;0;0;0;0;31084;64657
"5";"Isole";18;34472;4;1;0;0;0;0;34477;31465;28;1;0;0;0;0;31494;65971
"5";"Isole";19;33816;10;1;0;0;0;0;33827;31057;105;1;0;0;0;0;31163;64990
"5";"Isole";20;33132;40;0;2;1;0;0;33175;30920;236;1;2;2;0;0;31161;64336
"5";"Isole";21;33838;83;1;1;0;0;0;33923;31033;422;4;1;3;0;0;31463;65386
"5";"Isole";22;34807;164;7;0;2;0;0;34980;30843;775;6;0;2;0;0;31626;66606
"5";"Isole";23;34383;301;7;0;4;0;0;34695;30501;1212;15;1;2;0;0;31731;66426
"5";"Isole";24;33488;473;8;0;2;0;0;33971;29386;1785;20;3;2;0;0;31196;65167
"5";"Isole";25;33000;862;14;1;5;1;0;33883;28386;2718;16;1;4;0;0;31125;65008
"5";"Isole";26;32366;1370;11;0;3;0;0;33750;27747;3752;30;2;5;0;0;31536;65286
"5";"Isole";27;31689;2085;12;1;2;0;0;33789;26495;5138;45;5;9;0;0;31692;65481
"5";"Isole";28;31276;3037;24;1;12;0;0;34350;25344;6872;63;12;8;2;0;32301;66651
"5";"Isole";29;30294;4339;39;4;14;0;0;34690;24600;8818;145;17;20;1;0;33601;68291
"5";"Isole";30;30131;5906;68;5;13;0;0;36123;23898;10945;163;17;17;0;0;35040;71163
"5";"Isole";31;28431;7651;95;2;17;3;0;36199;21447;13083;230;36;13;2;0;34811;71010
"5";"Isole";32;27024;9349;134;4;20;1;0;36532;20483;14887;320;36;22;1;0;35749;72281
"5";"Isole";33;25499;10926;144;10;24;0;0;36603;18688;16762;366;62;24;1;0;35903;72506
"5";"Isole";34;24331;12746;216;11;26;1;1;37332;17265;18418;452;83;21;2;0;36241;73573
"5";"Isole";35;22297;14120;253;18;14;3;0;36705;15987;19287;576;77;29;2;0;35958;72663
"5";"Isole";36;20833;15726;331;21;18;2;1;36932;14747;20596;686;112;23;0;1;36165;73097
"5";"Isole";37;19916;17036;409;20;22;0;0;37403;13930;22264;848;127;36;4;0;37209;74612
