Anno,Delitti,Popolazione,Tasso_per_1000
2014,2812936,60345917,46.61352647934739
2015,2687249,60295497,44.56798821975047
2016,2487389,60163712,41.34367573596523
2017,2429795,60066734,40.45159172463081
2018,2371806,59937769,39.57114252951257
2019,2301912,59816673,38.4827822169247
2020,1900624,59641488,31.867481240575355
2021,2104114,59236213,35.52073796479866
2022,2255777,59030133,38.21399148804222
2023,2341574,58997201,39.689577815734005
